jaws,"Jaws is simply one of the greatest motion pictures of all time. Based on the best-selling novel by Peter Benchley, the film opened to audiences around the world and apart from receiving critical acclaim, grossed hundreds of millions thanks toJaws is simply one of the greatest motion pictures of all time. Based on the best-selling novel by Peter Benchley, the film opened to audiences around the world and apart from receiving critical acclaim, grossed hundreds of millions thanks to word of mouth and clever advertising. Three mediocre sequels followed in 1978, 1983 and 1987 but the original from 1975 is THE definitive suspense film. The plot concerns a small New England holiday resort that is being terrorized by a killer great white shark. The corrupt mayor of the town wishes to regard the numerous shark attacks as boating accidents. However, as the bodies mount it becomes clear to police chief Martin Brody that the problem can no longer be ignored. So, with the help of oceanographer Matt Hooper and crusty old fisherman Quint, Brody heads out to sea on a small boat in order to catch and kill the shark once and for all. Once they get on open sea, the film suddenly becomes a straight out action-adventure film, which is a genius move by both Spielberg and the producers, because in the first half of the film, the tension is slowly built up notch by notch so that when the viewer wants the shark dead too, then the characters decide to do the same and the way it gradually makes the transition is brilliant. Also, one cannot review the film without mentioning the iconic musical score by composer John Williams, a frequent choice in nearly all Spielberg's films. The music represents the mindless attack of the shark and it also is accompanied by some traditional swashbuckler music in the less suspenseful moments. The film's other big claim to fame is the fact that it had one of the most troublesome shoots in film history. The three mechanical sharks constructed for the film rarely worked, and when they did it was only for a short while. The reason for having three sharks was so that the filmmakers could exercise their control over the shark. The cast is superb also, with Roy Scheider, Robert Shaw and Richard Dreyfuss all giving their signature performances. However, the star of the show, as all learned movie buffs know, is really the shark. The film was released on June 20th of 1975 and quickly became the most popular film of all time at that time. It set the record for summer blockbusters since, grossing over 400 million dollars and shooting Spielberg to international fame. Overall, a classic chiller that belongs in every DVD collection. (10/10)… Expand"
jaws, What some of the other reviewers don't understand is that this movie was made in the 1970's and that the sfx was state of the art! Still a classic and anyone who says otherwise obviously doesn't know a good movie when they see it.
jaws," Spielberg has made the first summer block buster, and Jaws is one of my all time favorite movies, as next to it, a dream works SKG developed, and Richard D. Zanuck (producer of jaws) my other favorite movie next to ""Bruce"" is Sweeney Todd. Spielberg has made the first summer block buster, and Jaws is one of my all time favorite movies, as next to it, a dream works SKG developed, and Richard D. Zanuck (producer of jaws) my other favorite movie next to ""Bruce"" is Sweeney Todd. Love it! Superb!… Expand"
jaws,This movie has great characters and they sound and act like real people! The movie brings out screams and laughs too and this movie I do recommend to many.
jaws," Even though some of the attacks are phoney, the way they killed Jaws was fricken awesome. Great acting, plot, and a classic overall."
jaws, This definitely a very good movie. Steven Spielberg has delivered a great Educational masterpiece about how to begin the Story and move it to the Climax.
jaws," OK i know it's a cult movie, and i am a member of it's cult. But even if you Hate Cult Movies, you'll love this. The acting was Great, the setting was really belivible, the music was some of the best i have ever herd in a film OK i know it's a cult movie, and i am a member of it's cult. But even if you Hate Cult Movies, you'll love this. The acting was Great, the setting was really belivible, the music was some of the best i have ever herd in a film and really got you in the mood of the film. And it really did scare me and kept me on the edge of my set. Even after seeing it 100 times there are parts that will still get you. The acting was acctualy really good, I loved Richard Dryfuss as Matt Hooper. I am now reading the book to and it's even more exciting. Truely the greates 70s Disaster movies, no greates Disaster movie Period.… Expand"
jaws,"Jaws made me so scared I didn't even want to go to the toilet in case the great white came up and ate me!! I think this film deserves more than 1 billion Oscars, no lie!"
jaws,"This is the best horror movie of all time without a doubt. With an original plot, the best special effects of the time, and the ocean's strongest predator, you will want to see this movie no matter what. Everything about this movie will keepThis is the best horror movie of all time without a doubt. With an original plot, the best special effects of the time, and the ocean's strongest predator, you will want to see this movie no matter what. Everything about this movie will keep you interested, and you will not want to turn it off until it is done/… Expand"
jaws,"Jaws was the first horror flick I ever saw, and to this day it remains the most effective. Like so many others, I was afraid to go in the water after seeing this film. Tight direction from Steven Spielberg as well as a fairly realisticJaws was the first horror flick I ever saw, and to this day it remains the most effective. Like so many others, I was afraid to go in the water after seeing this film. Tight direction from Steven Spielberg as well as a fairly realistic looking shark (come on, it was 1975!) make this one of the greatest films of all time.… Expand"
